sample_id,catalog_content,image_link,price
7290,"Item Name: Pillsbury Gluten Free Chocolate Fudge Brownie Mix with Chocolate Chips, 15.5-Ounce (Pack of 12)
Bullet Point 1: Contains 12 - 15.5-ounce boxes of Pillsbury Gluten Free Chocolate Fudge Brownie Mix with Chocolate Chips
Bullet Point 2: Rich gluten free chocolate fudge taste to excite your sweet tooth
Bullet Point 3: 3 ingredients & 3 easy steps
Bullet Point 4: Makes one 9x13 pan of brownies
Bullet Point 5: Certified Gluten-free
Value: 186.0
Unit: Ounce
",https://m.media-amazon.com/images/I/81Cl-KFvScL.jpg,4.96
72735,"Item Name: The Swiss Colony 108 Piece Vanilla Celebration Cakes - Gourmet Bite-Size Mini Layer Cake Dessert Treats
Bullet Point 1: 108 GOURMET PETIT FOUR CAKES: Includes 108 two-bite-size layer cakes with luscious layers of white cake and vanilla cream filling, 5 lbs. 1 oz. net wt
Bullet Point 2: RICHLY COATED IN WHITE CONFECTION: Each cake is richly coated in a smooth white confection, offering a delightful taste and elegant appearance.
Bullet Point 3: VANILLA LAYER CAKES: A slightly upsized version of the classic Petits Fours The Swiss Colony has been making since 1961.
Bullet Point 4: PERFECT FOR ANY CELEBRATION: Ideal for birthdays, anniversaries, weddings, and festive gatherings, adding a touch of elegance to any event.
Bullet Point 5: HIGH-QUALITY INGREDIENTS: Made with the finest ingredients to ensure a premium and satisfying taste experience.
Bullet Point 6: IDEAL FOR ANYONE CELEBRATING SPECIAL MOMENTS: Perfect for those who appreciate gourmet desserts and want to make their celebrations extra special.
Product Description: Introducing The Swiss Colony Vanilla Celebration Cakes—a delightful array of gourmet petit four cakes designed to elevate any special occasion. With a net weight of 5 lbs. 1 oz., this impressive collection includes 108 mini layer cakes, making it perfect for large gatherings, parties, and celebrations.<br><br> Each mini layer cake features luscious layers of white cake and vanilla cream filling, all richly coated in a smooth white confection. These two-bite-size cakes are a slightly upsized version of the classic Petits Fours that The Swiss Colony has been making since 1961, offering a perfect balance of flavor and texture in every bite.<br><br> These Vanilla Celebration Cakes are perfect for any occasion, whether you're hosting a birthday party, an anniversary celebration, a wedding, or any other festive event. The beautiful presentation and exquisite taste of these petit four cakes make them a standout dessert that will impress your guests and elevate your celebration.<br><br> The compact size of these cakes makes them ideal for serving at parties, creating dessert buffets, or enjoying as a special treat. Their elegant appearance and delightful flavors make them suitable for both casual and formal gatherings, ensuring that they are a hit with everyone.<br><br> Each cake is made with the finest ingredients to ensure a premium and satisfying taste experience. The attention to detail and commitment to quality that The Swiss Colony is known for shines through in every bite of these delectable cakes. Whether you're celebrating a special occasion or simply treating yourself, this assortment of gourmet petit four cakes is the perfect choice.<br><br> Celebrate life's special moments with the exquisite taste of The Swiss Colony Vanilla Celebration Cakes. Order your assortment today and indulge in the delightful flavor and charming presentation of these gourmet petit four cakes. Perfect for any celebration, these mini layer cakes are sure to bring joy and elegance to your gatherings.
Value: 81.0
Unit: Ounce
",https://m.media-amazon.com/images/I/51Gw+9XMBmL.jpg,99.99
4148,"Item Name: Blueberry Pinot Decaf Black Tea (50 tea bags, ZIN: 543733) - 3 Pack
Bullet Point 1: Our Blueberry Pinot Decaf Black Tea is a wonderful flavored decaffeinated Black tea with Blueberries, Raisins (Golden) and Raspberries (Red). You will enjoy the simple and elegant Blueberry Pinot taste! - Ingredients: Decaf Black tea, Blueberries, Raisins (Golden), Raspberries (Red) and Natural Blueberry Pinot Flavor.
Bullet Point 2: No fillers.
Bullet Point 3: Manufacturer: TerraVita
Bullet Point 4: Size: 50 tea bags
Bullet Point 5: Black Tea Bags - Packed in a convenient upright pouch!
Product Description: Our Blueberry Pinot Decaf Black Tea is a wonderful flavored decaffeinated Black tea with Blueberries, Raisins (Golden) and Raspberries (Red). You will enjoy the simple and elegant Blueberry Pinot taste! - Ingredients: Decaf Black tea, Blueberries, Raisins (Golden), Raspberries (Red) and Natural Blueberry Pinot Flavor. - Hot tea brewing method: Bring freshly drawn cold water to a rolling boil. Place 1 teabag for each desired cup into the teapot. Pour the boiling water into the pot, cover and let steep for 2-4 minutes. Pour into your cup; add milk and natural sweeteners to taste. - Iced tea brewing method: (to make 1 liter/quart): Place 5 teabags into a teapot or heat resistant pitcher. Pour 1 1/4 cups of freshly boiled water over the teabags. Steep for 5 minutes. Quarter fill a serving pitcher with cold water. Pour the tea into the serving pitcher. Add ice and top-up with cold water. Garnish and sweeten to taste. - TerraVita is an exclusive line of premium-quality, natural source products that use only the finest, purest and most potent ingredients found around the world. TerraVita is hallmarked by the highest possible standards of purity, potency, stability and freshness. All of our products are prepared with the highest elements of quality control, from raw materials through the entire manufacturing process, up to and including the moment that the bottles or bags are sealed for freshness and shipped out to you. Our highest possible standards are certified by independent laboratories and backed by our personal guarantee. - TerraVita exists to meet and ensure your family's health and wellness without the harmful effects of chemicals and health products. We strive to make all of our products affordable and reliable and are constantly searching the market to maintain our a
Value: 150.0
Unit: Count
",https://m.media-amazon.com/images/I/81piOOGd1CL.jpg,117.49
207416,"Item Name: Famous Dave's - 2 pck, Hot & Sassy BBQ Sauce (40 oz.)
Bullet Point 1: The Hot & Sassy BBQ Sauce, 40 ounce, from Famous Dave's - 2 pack
Bullet Point 2: SWEET, SMOKY & SPICY: The flavor profile features a perfect balance of sweetness, smoky richness, and a satisfying spicy punch.
Bullet Point 3: SASSY WITH ATTITUDE: Get ready for a flavor explosion! The Hot & Sassy offers a more pronounced heat compared to the original, but it won't overpower the delicious base flavors.
Bullet Point 4: GOOD ISN'T GOOD ENOUGH, MAKE IT FAMOUS: Natural flavors, black strap molasses, fruit juices, herbs and spices work together to make Famous Dave's the real deal; You're not just making a meal, you're carrying on a legend
Bullet Point 5: FAMOUS DAVES AUTHENTIC RECIPES: Whether you're smoking ribs, barbecuing steaks, roasting chicken or grilling burgers, we've got award winning spices, sauces and side dishes to make your meal a success
Bullet Point 6: AWARD-WINNING QUALITY: If you’ve experienced our “Big Slab” of ribs or melt-in-your-mouth corn bread from Famous Dave’s, you know our passion for quality and time-honored ingredients and that's why were a Blue Ribbon Brand
Value: 40.0
Unit: Ounce
",https://m.media-amazon.com/images/I/61hXc89uN0L.jpg,11.85
87913,"Item Name: Healthy Choice Cafe Steamers Grilled Chicken Marinara with Parmesan, 9.5 Ounce -- 8 per case.
Bullet Point: Ships frozen, CANNOT be cancelled after being processed.
Product Description: Healthy Choice Cafe Steamers Grilled Chicken Marinara with Parmesan, 9.5 Ounce -- 8 per case. Enjoy a taste of Italy with this deliciously inspired dish, featuring juicy grilled white meat chicken, al dente whole-grain pasta and crisp broccoli in a zesty marinara sauce. It comes topped with freshly grated Parmesan and has no preservatives.
Value: 76.0
Unit: ounce
",https://m.media-amazon.com/images/I/71Qr+ZZytwL.jpg,2.99
130106,"Item Name: Laxmi Organic Whole Moong, Mung Bean Seeds - 2lbs for Cooking & Sprouting
Bullet Point 1: Laxmi Organic Whole Moong, also known as Mung Beans, are a popular legume that is cultivated as a protein source for a variety of Traditional Indian dishes.
Bullet Point 2: Laxmi Organic Whole Moong, commonly known as mung beans are a delicious staple in traditional Indian cooking and are excellent to use in: Whole Mung Dal, Soups and Stews, Mung Bean Dip, and Salads!
Bullet Point 3: House of Spices Laxmi Organic Whole Moong (Mung Bean Seeds) is an all natural food product that is guaranteed fresh. Our Mung Bean Seeds are of the highest quality and will be a delightful addition to any meal.
Bullet Point 4: Our Organic Whole Moong (Mung Bean Seeds) are available in 2lbs bags conveniently sized for home cooking! House of Spices has all of the Traditional Indian Spices and food products you need to get cooking.
Bullet Point 5: At House of Spices, spreading Indian food culture through quality products and family recipes is our company goal! Our authentic Indian Cooking spices are of the best quality and will bring intense flavor and vitality to your dinner table. Whether you're looking for traditional Indian spices and food products to create an exotic dinner, or simply wanting to indulge your nostalgia and make a dinner with all of the familiar flavors of home, House of Spices has the ingredients you need!
Product Description: Cooking for friends or family? Delight their taste buds with our Laxmi Organic Whole Moong (Mung Beans)! Our variety of authentic Indian spices and cooking ingredients are just what you need to create a gourmet meal in your kitchen. House of Spices carries the essential ingredients that will allow you to create a home-cooked sensational dish that always please. Laxmi Whole Moong - commonly known as mung beans can be used for a delicious traditional Indian dal and is also great for sprouting! If the whole moong is used in cooking, it will add a slightly sweet and nutty flavor to your dish. House of Spices is a leader in the market of classic Indian cooking spices. Proudly distributed throughout the United States, House of Spices specializes in exceptional spices and food products always sourced from the highest quality ingredients. House of Spices has the ingredients you need for traditional Indian cooking - made pure, made fresh, and made wholesome!
Value: 32.0
Unit: Ounce
",https://m.media-amazon.com/images/I/71Id5STx1EL.jpg,20.38
41724,"Item Name: Rigoni di Asiago Fior Di Frutta, Fruit Spread Wild Berry Organic, 8.82 Ounce
Bullet Point 1: A cocktail of exciting flavors ranging from the harsh to sweet
Bullet Point 2: Something unique and unmistakable
Bullet Point 3: Try on roast game or mature cheeses
Bullet Point 4: Organic, Non GMO, kosher certified & gluten free
Value: 8.82
Unit: Ounce
",https://m.media-amazon.com/images/I/71grGsk+F5L.jpg,6.49
296439,"Item Name: McCormick Freeze-Dried Chives, 0.16 oz (Pack of 4)
Value: 4.0
Unit: Count
",https://m.media-amazon.com/images/I/41yjTbgkzDL.jpg,7.965
154197,"Item Name: Bob's Red Mill - Baking Flour All Purpose Gluten Free - 22 oz.
Bullet Point 1: One, 22 oz. bag (1.375 lbs.)
Bullet Point 2: Gluten Free; Vegan; Vegetarian; Kosher Pareve
Bullet Point 3: Manufactured in a dedicated gluten free facility; R5-ELISA tested gluten free
Bullet Point 4: Versatile
Bullet Point 5: Good source of dietary fiber
Value: 22.0
Unit: Ounce
",https://m.media-amazon.com/images/I/617rePyR51L.jpg,11.645
92742,"Item Name: Victor High Strength Rubber Adhesive 1 oz.
Product Description: RUBBER CEMENT AUTO 1OZ (Pkg of 10)
Value: 1.0
Unit: Fl Oz
",https://m.media-amazon.com/images/I/41iR0A+ZzQL.jpg,2.94
