sample_id,catalog_content,image_link,price,price_bin,value,unit,item_name,predicted_price,abs_error,pct_error,smape_individual
272914,"Item Name: Topps Juicy Drop Pop, 18 count per pack -- 16 per case.
Product Description: Topps Juicy Drop Pop, 18 count per pack -- 16 per case. 0.92 Ounce, Laydown Box
Value: 16.0
Unit: Count
",https://m.media-amazon.com/images/I/71pIYhTtyoL.jpg,691.16,100+,16.0,Count,"Topps Juicy Drop Pop, 18 count per pack -- 16 per case.",30.297998637797534,660.8620013622025,95.61635531023244,183.20179486816758
227791,"Item Name: Alex's Low Acid Organic Coffee Ultimate 5lb Bag Variety Pack
Bullet Point 1: These certified USDA organic premium coffee beans are specially processed to contain low to no chlorogenic acid with full flavor and are free of mold & mycotoxins.
Bullet Point 2: Alex's Low Acid French Roast Coffee is a special blend of three highly sought-after beans (50% Chiapas, 25% Nicaragua, 25% Honduras) and is mild, delicate, and balanced. It is perfectly roasted to a medium-leaning dark, almost French, Roast. It is dark enough to have a full body and chocolatey personality, but there is no burnt or bitter taste. Instead, the flavors in these beans are still detectable, and that is a great thing!
Bullet Point 3: Alex's Low Acid Organic Decaf Coffee contains 100% pure Chiapas coffee beans. Grown in southern Mexico, near the border with Guatemala, Chiapas coffee beans have the same characteristics of Guatemalan beans that you would expect from the volcanic soil and high altitude they grow in. They are mild and delicate, with slightly sweet notes of brown sugar and pear. They also have a nutty overtone.
Bullet Point 4: Alex’s Low Acid Rise n’ Shine Coffee is a pleasant blend of Sumatran and Mexican Chiapas coffees that is sure to brighten your morning. Roasted Italian style, Rise n’ Shine offers a subtle caramel flavor with spicy notes of white pepper and vanilla bean resulting in a wonderfully balanced, smooth, and rich cup of coffee.
Bullet Point 5: Alex’s Low Acid Half Calf offers half the caffeine (about 50mg) of our regular coffees without sacrificing the richness and flavor coffee drinkers demand. When this rich, smooth, and earthy blend of coffee hits your taste buds, you’ll be greeted with hints of dark chocolate, plum, and manzanita honey. Perfect for a smooth-sipping, full-bodied coffee any time of the day.
Bullet Point 6: Alex’s Low Acid Coffee offers the best of all possibilities. You can count on your energizing and comforting coffee without struggling with discomfort.
Bullet Point 7: Limits heartburn and acid reflux and reduces chances of stomach irritation.
Bullet Point 8: Safer for tooth enamel.
Bullet Point 9: 4-6x higher in healthy antioxidants than other leading brands.
Value: 640.0
Unit: Ounce
",https://m.media-amazon.com/images/I/71Sh7ZJS6FL.jpg,679.92,100+,640.0,Ounce,Alex's Low Acid Organic Coffee Ultimate 5lb Bag Variety Pack,21.806096816530843,658.1139031834691,96.79284374389181,187.5700237369213
46413,"Item Name: Beverage/Topping Heated Condiment Dispenser from Benchmark #21011
Bullet Point 1: 5 Quart Capacity
Bullet Point 2: Clear Polycarbonate Bowl
Bullet Point 3: 1100 Watts
Bullet Point 4: Adjustable Thermostat
Bullet Point 5: Rotating Paddles
Product Description: Heated Beverage / Topping Condiment Dispenser from Benchmark #21011, great for beverages, toppings and sauces like hot chocolate, nacho cheese, drawn butter, au jus, broths, hot cider, teas, gravy, syrups, popcorn butter topping, cream sauces & more. This 5-quart capacity heated dispenser uses rotating paddles making it perfect for many beverages, toppings and sauces. It has an adjustable thermostat and 1100 watts of heating capacity. The easy-to-disassemble tap and the removable clear polycarbonate bowl are easily cleaned in a sink or dishwasher. The bowl can also be removed for refrigerated storage of unused product thereby eliminating product waste. The drip tray is removable for easy cleaning. Benchmark USA’s exclusive 3-year warranty ensures durability and reliability.
Value: 1.0
Unit: Count
",https://m.media-amazon.com/images/I/31KD8rW9uNL.jpg,613.58,100+,1.0,Count,Beverage/Topping Heated Condiment Dispenser from Benchmark #21011,30.297998637797534,583.2820013622025,95.06209481440115,181.17780156992686
196247,"Item Name: Gyokuro Imperial Japanese Green Tea (Loose) (8 oz, ZIN: 510037) - 3 Pack
Bullet Point 1: Gyokuro Imperial Japanese Green Tea (Loose) (8 oz, ZIN: 510037)
Bullet Point 2: No fillers.
Bullet Point 3: Manufacturer: TerraVita
Bullet Point 4: Size: 8 oz
Bullet Point 5: Loose Leaf Green Tea - Packed in a convenient upright pouch!
Product Description: Gyokuro Imperial Japanese Green Tea (Loose) (8 oz, ZIN: 510037)<BR><BR>Packaged in the United States in a GMP certified facility (Good Manufacturing Practice).<BR><BR>No fillers.<BR><BR>Manufacturer: TerraVita<BR><BR>Size: 8 oz<BR><BR>Loose Leaf Green Tea - Packed in a convenient upright pouch!<BR><BR>Ingredients: Green Tea
Value: 24.0
Unit: Ounce
",https://m.media-amazon.com/images/I/81Iedp6SbdL.jpg,573.83,100+,24.0,Ounce,"Gyokuro Imperial Japanese Green Tea (Loose) (8 oz, ZIN: 510037) - 3 Pack",21.806096816530843,552.0239031834692,96.19990296489712,185.35609447911105
247403,"Item Name: TSAR CAVIAR Imperial Osetra Caviar 4 oz (113G) - OVERNIGHT DELIVERY - Black Caviar Sturgeon - Light-Salted Osetra Caviar Eggs - Gourmet Food Gifts - Malossol Fish Roe
Bullet Point 1: ✅ Imperial Osetra Caviar is made with premium quality golden pearls that have a smooth buttery taste and fresh crisp aroma of the Sea.
Bullet Point 2: ✅ Experience the luxurious taste of Imperial Caviar, once reserved for kings.
Bullet Point 3: ✅ The freshness and deliciousness of Imperial Osetra Caviar will leave you craving for more.
Bullet Point 4: ✅ The Imperial Osetra Caviar is fully matured and is produced in a sustainable manner.
Bullet Point 5: ✅ Perfect for any fine dining experience, this caviar pairs well with different types of crackers, bread, and wine.
Product Description: Savor the taste of royalty with the Imperial Osetra Caviar. This premium quality caviar is made of golden pearls that boast a smooth buttery taste and a fresh crisp aroma of the Sea. Once reserved for kings, you can now enjoy the luxurious taste and freshness of this caviar, fully matured and produced in a sustainable manner. Whether you are hosting a lavish dinner party or just looking for a special way to indulge, Imperial Osetra Caviar is the perfect choice. It can be paired with different types of crackers, bread and wine to create a truly indulgent culinary experience.
Value: 4.0
Unit: Ounce
",https://m.media-amazon.com/images/I/6149nLA0IKL.jpg,570.0,100+,4.0,Ounce,TSAR CAVIAR Imperial Osetra Caviar 4 oz (113G) - OVERNIGHT DELIVERY - Black Caviar Sturgeon - Light-Salted Osetra Caviar Eggs - Gourmet Food Gifts - Malossol Fish Roe,21.806096816530843,548.1939031834692,96.174368979556,185.26132330583874
256003,"Item Name: Napa Valley Naturals Organic Extra Virgin Olive Oil, 35 Lb
Bullet Point 1: Third Party Certified Organic
Bullet Point 2: First Cold Pressing
Bullet Point 3: Acidity at Bottling 0.5% or Less
Bullet Point 4: Cold Pressed at Temperatures below 98.5 degrees
Bullet Point 5: Kosher
Value: 35.0
Unit: lb
",https://m.media-amazon.com/images/I/21UmY1Qf52L.jpg,546.94,100+,35.0,lb,"Napa Valley Naturals Organic Extra Virgin Olive Oil, 35 Lb",22.713392857142857,524.2266071428572,95.8471874689833,184.0510786791091
55763,"Item Name: 5 Hour Energy Extra Strength Watermelon Shots, 1.93 Fluid Ounce - 216 per case
Bullet Point: Extra Strength Watermelon Shots
Value: 416.88
Unit: Fl Oz
",https://m.media-amazon.com/images/I/51E8V7o0Y9L.jpg,536.41,100+,416.88,Fl Oz,"5 Hour Energy Extra Strength Watermelon Shots, 1.93 Fluid Ounce - 216 per case",21.29307887038704,515.1169211296129,96.03044707026584,184.72801770180965
152113,"Item Name: China Beauty Rings Tea (Loose) (8 oz, ZIN: 510605)
Bullet Point 1: China Beauty Rings Tea (Loose) (8 oz, ZIN: 510605)
Bullet Point 2: No fillers.
Bullet Point 3: Manufacturer: TerraVita
Bullet Point 4: Size: 8 oz
Bullet Point 5: Loose Leaf Herbal Tea - Packed in a convenient upright pouch!
Product Description: China Beauty Rings Tea (Loose) (8 oz, ZIN: 510605)<BR><BR>Packaged in the United States in a GMP certified facility (Good Manufacturing Practice).<BR><BR>No fillers.<BR><BR>Manufacturer: TerraVita<BR><BR>Size: 8 oz<BR><BR>Loose Leaf Herbal Tea - Packed in a convenient upright pouch!<BR><BR>Ingredients: Green Tea
Value: 8.0
Unit: Ounce
",https://m.media-amazon.com/images/I/71avwZEa9iL.jpg,526.32,100+,8.0,Ounce,"China Beauty Rings Tea (Loose) (8 oz, ZIN: 510605)",21.806096816530843,504.5139031834692,95.85687474986115,184.08680269508878
80628,"Item Name: Frontier Vanilla Extract ORGANIC 1 Gallon Jug (a)
Product Description: Frontier Vanilla Extract ORGANIC 1 gallon Jug
Value: 128.0
Unit: Fl Oz
",https://m.media-amazon.com/images/I/11xDm5NLcyL.jpg,487.015,100+,128.0,Fl Oz,Frontier Vanilla Extract ORGANIC 1 Gallon Jug (a),21.29307887038704,465.72192112961295,95.62783921021179,183.2439579416431
291427,"Item Name: Sour Patch Kids, 2-Ounce Bags (Pack of 48)
Bullet Point 1: Pack of forty eight, 2-ounce bag (total of 96 ounce)
Bullet Point 2: Soft and chewy candy
Bullet Point 3: Sour then sweet
Bullet Point 4: Product of USA
Value: 96.0
Unit: oz
",https://m.media-amazon.com/images/I/61GKFf-ebZL.jpg,444.85,100+,96.0,oz,"Sour Patch Kids, 2-Ounce Bags (Pack of 48)",14.657362565445027,430.19263743455497,96.70510001900752,187.2408028601653
