sample_id,price
218346,25.99
276594,2.69
38444,7.99
42714,3.695
235298,30.37
194521,6.67
279521,23.935
107728,3.4000000000000004
293839,6.6
215546,4.835000000000001
71080,73.77
184186,4.67
143293,17.99
192740,39.95
97138,4.59
61218,1.435
241488,9.79
279386,5.99
115897,3.7
273140,7.99
38571,9.27
109113,12.99
107145,19.545
22179,14.99
1629,30.98
64476,25.49
195506,95.36
249883,24.99
250774,29.98
98530,25.94
157875,18.49
198758,6.96
177396,28.99
110026,15.49
161242,132.69
191246,48.19
155351,3.95
235836,6.88
125583,5.47
103804,48.0
8990,2.38
11442,2.79
281266,1.99
252898,19.205
53277,39.99
163985,4.58
117240,12.18
224130,2.75
246240,27.71
73398,14.49
126885,1.44
24758,36.75
62007,6.53
72700,25.95
27786,8.68
141274,15.239999999999998
195710,93.79
298741,5.18
247460,50.61
222747,20.24
12141,18.68
208381,14.9
157015,150.11
213570,27.49
150055,14.99
14461,4.9
10826,11.45
159962,5.29
63726,13.9
215909,4.96
159028,69.22
144009,81.92
272760,8.64
133368,9.39
154885,43.83
212095,21.09
209505,80.49
139360,3.06
221899,15.99
13282,9.03
187207,38.98
12917,5.99
174845,13.02
216647,20.99
287416,6.0200000000000005
162355,6.69
189151,18.99
268301,14.27
295227,19.89
179334,28.99
112760,21.95
17777,49.99
221085,4.79
230924,5.99
159199,5.79
64418,9.99
280459,20.840000000000003
63179,10.49
278828,5.1850000000000005
186306,12.69
187080,2.685
288848,25.11
70535,12.99
148029,29.45
287331,8.94
110125,17.98
156566,31.47
87549,6.67
23460,3.14
181218,58.99
52847,9.99
222853,88.99
52337,29.99
267070,22.99
28508,4.81
287638,1.755
77989,4.19
159621,29.22
140960,11.5
23934,28.99
55089,27.99
208742,17.39
21197,3.0
221336,9.99
203384,5.49
288292,26.0
241221,29.07
264445,0.98
252479,5.88
254270,34.99
73148,8.48
200785,35.99
161390,9.99
117557,7.88
203584,129.98
182481,10.935
273657,24.5
233735,53.99
124799,7.51
256047,4.64
68695,5.29
157864,6.5
245755,27.43
67225,15.9
22793,36.385000000000005
127638,38.715
104343,8.190000000000001
281874,10.0
117352,15.84
9579,21.99
224855,12.99
81087,8.49
229966,56.49
259868,49.52
140203,20.99
229854,19.95
288568,19.46
175679,15.85
269888,8.99
14671,42.15
177499,27.94
243112,23.3
8467,52.99
57164,7.645
273951,12.78
238556,37.69
220804,1.49
175488,35.245000000000005
282847,12.6
2977,51.485
167595,101.99
269018,8.26
186333,10.39
187321,7.855
71837,15.99
200587,19.01
29875,8.085
293873,19.97
125055,5.4
167435,33.82
55731,10.99
125469,2.39
6465,8.48
257016,5.88
131989,11.14
28627,2.49
145390,13.52
204659,12.185
199689,36.49
297714,18.99
188026,12.48
154796,31.91
60961,1.315
235599,7.99
170620,5.45
24783,5.67
52170,105.0
277172,1.34
202740,79.99
57691,2.575
2481,50.13
230050,40.445
193553,8.88
51332,13.99
90720,27.94
158769,40.55
117595,27.0
286245,61.4
9869,73.4
17403,2.98
295292,2.99
225529,13.035
252589,25.95
47452,3.68
37681,11.135
64710,42.39
258846,7.85
33109,13.99
115062,19.87
195341,44.48
250385,22.99
292128,9.805
191743,6.42
62828,55.69
228729,5.0
135726,119.99
31904,19.09
210442,5.89
30856,7.16
297780,28.99
288885,7.95
186511,15.19
210662,6.985
53732,26.88
174111,1.99
23073,6.48
178597,47.98
91247,18.62
217679,13.49
270347,6.9
162737,6.99
114052,9.24
111823,7.49
284401,5.99
226129,20.99
105352,35.99
228316,31.97
241008,7.95
139826,15.99
106925,17.99
223375,37.99
277117,2.79
61710,3.49
92649,1.99
155813,1.79
92330,52.935
59661,23.95
184995,4.325
4443,19.99
62210,6.49
98220,11.99
116175,6.99
70812,6.69
159769,12.99
139707,13.99
248726,12.78
115692,14.36
10930,32.95
68957,2.68
125412,2.72
102344,56.91
241843,4.06
154950,12.39
20397,7.99
139673,11.99
86041,9.55
233384,5.27
187679,5.13
223840,8.0
148046,9.97
191683,4.95
234039,27.93
166802,35.12
248467,15.99
203031,9.99
71099,11.94
112010,23.96
200653,57.98
42524,20.99
33663,9.94
125289,38.93
172748,4.98
12684,17.99
59286,12.99
282053,19.0
182720,20.995
90935,6.89
181578,8.11
73880,95.84
53854,23.745
268484,19.99
231506,1.59
265495,17.99
63186,12.83
17108,25.16
15042,28.48
295248,25.535
27343,2.56
65426,15.39
229560,25.6
41454,18.5
250867,5.98
170313,5.655
104212,34.99
36334,14.12
8368,13.99
226925,22.0
42008,7.895
131247,27.86
240821,28.06
278969,28.78
70789,84.9
290020,12.88
17511,16.95
286315,6.95
158705,6.99
266354,5.29
18208,50.19
148291,67.78
170578,9.235
110902,4.635
121640,11.99
276758,4.39
261978,1.29
9050,10.99
66377,24.91
6579,49.95
281903,4.255
7577,18.99
127988,82.92
235988,19.955
251210,9.19
120221,6.99
276362,1.48
68987,3.385
89400,5.89
225742,13.965
18417,32.3
144559,11.25
166148,149.94
92997,13.35
276088,6.01
255705,28.16
72295,55.0
89414,4.49
100285,17.99
271701,22.99
98256,3.56
41087,27.17
233949,40.89
8400,62.68
104796,23.4
290369,2.27
240150,2.79
38424,59.49
10355,1.0
68256,37.985
55593,4.99
78611,3.045
224150,2.48
230149,13.17
206488,15.98
128698,20.49
135471,12.74
248636,28.98
27571,20.895
197350,7.1
171074,78.89
141113,34.99
286653,6.07
60944,3.33
97094,29.99
233214,19.99
110616,89.99
53924,18.99
18393,64.13
242218,24.99
288648,9.875
201281,13.99
99084,14.78
238929,6.390000000000001
270350,15.99
81417,2.07
142071,9.06
269903,11.55
218292,25.99
208951,0.64
11934,7.99
215205,33.98
228405,79.92500000000001
167840,3.17
257955,2.59
240896,47.36
100538,13.99
30451,3.58
64103,9.995
101521,14.99
248978,10.99
54244,12.88
209408,20.99
96377,4.105
20514,79.95
168824,9.99
142054,50.1
75704,94.99
229091,3.79
76182,8.67
192163,13.51
246354,14.95
116174,5.49
266445,36.59
124484,4.695
97200,91.1
280317,10.965
239435,3.26
63105,46.99
25860,4.395
57288,35.99
157769,24.49
134421,40.28
212642,29.59
200756,18.99
219826,5.99
76824,4.51
215593,18.99
282511,2.29
59146,2.49
175981,6.755
192479,14.99
29759,25.41
56288,55.95
238440,59.99
106924,2.62
240668,1.4300000000000002
124301,8.99
129929,1.48
7878,36.99
7959,37.5
50339,45.0
106351,29.49
16728,9.49
145705,27.4
294323,29.27
204437,30.075000000000003
200663,12.99
214084,21.99
11820,39.9
180066,5.99
137309,6.195
287217,313.91
19795,23.36
83551,1.48
181061,6.79
19275,18.445
135963,2.33
70046,10.0
141646,11.98
119314,42.99
282002,3.18
143474,49.99
286513,11.985
175617,1.265
14521,7.61
121605,23.4
134982,46.63
94823,45.0
152969,9.29
91033,3.09
298485,12.09
154059,55.19
85610,6.635
24565,61.36
81444,11.725
174125,8.21
156120,13.77
219610,4.12
36872,19.18
272067,13.0
271742,5.94
191831,17.35
143569,141.62
240709,16.95
90028,1.63
234874,19.32
114812,38.9
31791,43.79
193551,34.03
216245,4.915
253315,6.49
89352,4.565
96375,5.98
112176,12.99
101162,48.95
149535,72.8
230209,33.91
203713,24.91
97172,2.78
188910,12.74
166996,67.1
243339,24.99
115654,175.98
77990,61.17
87432,17.99
204546,10.85
171460,4.69
113601,27.95
43325,30.09
110591,43.99
156727,31.29
16600,2.99
286312,21.88
280211,17.15
102842,3.54
129003,22.9
95362,40.71
24352,36.3
242787,14.39
236466,1.98
169336,18.75
245163,15.64
152377,28.07
57882,41.99
282340,73.485
99091,2.74
291761,147.89
253802,19.98
271910,5.54
183836,9.49
100805,4.49
861,19.99
18337,23.36
85780,4.0
165495,5.99
56236,14.99
241670,9.94
294138,30.44
95603,72.6
131338,10.68
123922,12.7
188849,4.86
65846,12.89
111155,22.275
254602,89.99
227887,12.0
156788,1.68
25902,8.49
96860,19.82
10085,8.84
96739,37.99
293496,2.34
153185,15.51
141944,6.99
285165,6.555
28085,16.73
97902,17.99
146685,20.68
32086,20.99
284207,6.985
197131,7.83
279033,19.37
99652,12.87
45964,4.050000000000001
120337,13.62
44714,3.12
149516,23.25
147364,51.54
161062,70.5
207314,13.99
158071,9.89
104938,2.48
286099,9.055
292034,20.025
24581,3.49
138823,3.39
248938,16.5
92576,60.59
87176,4.48
37202,4.38
274932,15.49
256877,35.845
210155,17.68
283289,18.75
255003,15.99
174476,41.29
73017,15.0
111493,14.49
122401,25.95
20884,46.93
109230,30.0
148963,18.99
228768,4.97
2113,81.92
79945,10.165
94038,11.37
123606,17.99
34344,11.48
240983,30.43
269298,3.975
200226,7.7
61793,7.77
227564,9.49
7422,4.49
265566,21.99
257286,21.24
218254,17.99
227583,6.49
153519,1.465
62530,27.48
232946,63.99
51984,25.95
200666,26.99
131938,34.99
267652,3.115
166585,12.48
25336,9.4
254465,5.225
253669,2.99
180639,5.99
65448,6.99
24730,11.98
272377,3.54
87086,5.29
143800,46.8
256813,12.53
181600,45.38
195429,421.72
148609,33.84
1105,25.67
261462,4.99
256464,2.78
62443,10.95
172868,3.83
227141,9.49
166579,12.48
50624,28.75
96179,34.76
140058,8.99
233736,11.5
208902,6.99
277003,13.47
70994,7.79
233683,10.2
266833,18.99
102767,11.685
29590,7.28
270130,5.545
31808,6.69
134888,14.52
47058,3.29
221276,14.99
19801,64.31
32426,3.73
38529,11.31
159026,17.2
22984,2.28
94423,3.49
191168,4.575
170065,7.41
274871,9.17
